File generated by Rfunction: Gera.fluxnew.yy.func1 
 TimeStamp at the begining of period
 version 1: Block average, density(WPL) corrections,and flow rotation
 yy jday hhdec(GMT) alfa(deg) beta(deg)  u(m/s) v(m/s) w(m/s)  H(W/m2) LE(W/m2) ustr(m/s)  wco2(mg/m2/s) MOL(m)
2011 184 13.5 76.8 11.4 1.54 0 0 299.43 -9999.9 -9999.9 0.47 -9999.9 -9999.9
2011 184 14 24.1 7.5 0.45 0 0 300.09 -9999.9 -9999.9 0.32 -9999.9 -9999.9
2011 184 14.5 81.1 0.5 0.46 0 0 300.8 -9999.9 -9999.9 0.23 -9999.9 -9999.9
2011 184 15 75.6 7.2 0.39 0 0 301.38 -9999.9 -9999.9 0.12 -9999.9 -9999.9
2011 184 15.5 111.8 27.3 1.13 0 0 301.99 -9999.9 -9999.9 0.19 -9999.9 -9999.9
2011 184 16 7.1 19.6 1.01 0 0 302.96 -9999.9 -9999.9 0.4 -9999.9 -9999.9
2011 184 16.5 56.7 33.7 1.2 0 0 303.81 -9999.9 -9999.9 0.13 -9999.9 -9999.9
2011 184 17 60.8 25 1.21 0 0 304.4 -9999.9 -9999.9 0.17 -9999.9 -9999.9
2011 184 17.5 73.8 38.9 0.83 0 0 304.83 -9999.9 -9999.9 0.2 -9999.9 -9999.9
2011 184 18 22.8 41.6 0.86 0 0 305.46 -9999.9 -9999.9 0.1 -9999.9 -9999.9
2011 184 18.5 68.9 13.8 1.57 0 0 305.87 -9999.9 -9999.9 0.48 -9999.9 -9999.9
2011 184 19 86.2 14.5 1.9 0 0 306.16 -9999.9 -9999.9 0.41 -9999.9 -9999.9
2011 184 19.5 154.1 16.1 1.62 0 0 306.62 -9999.9 -9999.9 0.32 -9999.9 -9999.9
2011 184 20 144.6 16.8 1.71 0 0 306.8 -9999.9 -9999.9 0.37 -9999.9 -9999.9
2011 184 20.5 87.4 22.4 1.19 0 0 306.95 -9999.9 -9999.9 0.25 -9999.9 -9999.9
2011 184 21 82.7 17.1 1.9 0 0 307.08 -9999.9 -9999.9 0.47 -9999.9 -9999.9
2011 184 21.5 35.5 12 1.58 0 0 306.61 -9999.9 -9999.9 0.31 -9999.9 -9999.9
2011 184 22 194.1 6.9 2.81 0 0 303.66 -9999.9 -9999.9 0.63 -9999.9 -9999.9
2011 184 22.5 37.1 19.1 2.67 0 0 298.85 -9999.9 -9999.9 0.42 -9999.9 -9999.9
2011 184 23 131 5.4 2.61 0 0 297.08 -9999.9 -9999.9 0.59 -9999.9 -9999.9
2011 184 23.5 2.4 26.1 1.24 0 0 296.35 -9999.9 -9999.9 0.04 -9999.9 -9999.9
2011 185 0 75.7 17.8 1.27 0 0 296.31 -9999.9 -9999.9 0.19 -9999.9 -9999.9
2011 185 0.5 121.7 12.2 0.52 0 0 296.26 -9999.9 -9999.9 0.12 -9999.9 -9999.9
2011 185 1 26 16.2 1.07 0 0 296.56 -9999.9 -9999.9 0.04 -9999.9 -9999.9
2011 185 1.5 29.6 12.3 1.54 0 0 297.04 -9999.9 -9999.9 0.27 -9999.9 -9999.9
2011 185 2 77.4 11.3 1.67 0 0 297.71 -9999.9 -9999.9 0.21 -9999.9 -9999.9
2011 185 2.5 49.7 10.4 1.44 0 0 297.5 -9999.9 -9999.9 0.22 -9999.9 -9999.9
2011 185 3 59.6 11.6 1.86 0 0 297.69 -9999.9 -9999.9 0.28 -9999.9 -9999.9
2011 185 3.5 24.4 13.2 1.49 0 0 297.54 -9999.9 -9999.9 0.19 -9999.9 -9999.9
2011 185 4 39.1 13.1 1.49 0 0 297.18 -9999.9 -9999.9 0.24 -9999.9 -9999.9
2011 185 4.5 27.5 12.2 1.08 0 0 297.02 -9999.9 -9999.9 0.15 -9999.9 -9999.9
2011 185 5 67 11.6 1.06 0 0 297.16 -9999.9 -9999.9 0.07 -9999.9 -9999.9
2011 185 5.5 33.2 14.9 1.29 0 0 296.84 -9999.9 -9999.9 0.04 -9999.9 -9999.9
2011 185 6 13.7 10.8 1.36 0 0 296.71 -9999.9 -9999.9 0.17 -9999.9 -9999.9
2011 185 6.5 49.3 15 1.05 0 0 296.52 -9999.9 -9999.9 0.15 -9999.9 -9999.9
2011 185 7 109.4 11.9 1.46 0 0 296.48 -9999.9 -9999.9 0.12 -9999.9 -9999.9
2011 185 7.5 112.3 9.7 1.25 0 0 296.51 -9999.9 -9999.9 0.15 -9999.9 -9999.9
2011 185 8 60.2 16.6 1.18 0 0 296.23 -9999.9 -9999.9 0.09 -9999.9 -9999.9
2011 185 8.5 27.6 14.1 1.2 0 0 295.99 -9999.9 -9999.9 0.14 -9999.9 -9999.9
2011 185 9 85.6 17.8 0.82 0 0 296.08 -9999.9 -9999.9 0.14 -9999.9 -9999.9
2011 185 9.5 120.3 10.5 1.35 0 0 296.71 -9999.9 -9999.9 0.11 -9999.9 -9999.9
2011 185 10 84.4 16.3 1.45 0 0 296.64 -9999.9 -9999.9 0.07 -9999.9 -9999.9
2011 185 10.5 94.2 15.5 1.23 0 0 296.82 -9999.9 -9999.9 0.18 -9999.9 -9999.9
2011 185 11 25.5 18.1 1.12 0 0 297.48 -9999.9 -9999.9 0.12 -9999.9 -9999.9
2011 185 11.5 7.8 16.1 0.77 0 0 298.12 -9999.9 -9999.9 0.09 -9999.9 -9999.9
2011 185 12 15.8 11.4 0.79 0 0 298.63 -9999.9 -9999.9 0.09 -9999.9 -9999.9
2011 185 12.5 65.3 21.8 0.96 0 0 299.31 -9999.9 -9999.9 0.19 -9999.9 -9999.9
2011 185 13 23.4 25.6 1.22 0 0 299.95 -9999.9 -9999.9 0.19 -9999.9 -9999.9
2011 185 13.5 30 24.5 1.06 0 0 300.54 -9999.9 -9999.9 0.21 -9999.9 -9999.9
2011 185 14 26.6 78.6 0.18 0 0 301.11 -9999.9 -9999.9 0.16 -9999.9 -9999.9
2011 185 14.5 294.7 1.9 1.6 0 0 301.61 -9999.9 -9999.9 0.24 -9999.9 -9999.9
2011 185 15 359.6 14.4 1.02 0 0 302.03 -9999.9 -9999.9 0.28 -9999.9 -9999.9
2011 185 15.5 277.9 16.8 0.65 0 0 302.24 -9999.9 -9999.9 0.24 -9999.9 -9999.9
2011 185 16 260.1 24.9 0.93 0 0 302.38 -9999.9 -9999.9 0.23 -9999.9 -9999.9
2011 185 16.5 302.8 68.7 0.4 0 0 302.78 -9999.9 -9999.9 0.19 -9999.9 -9999.9
2011 185 17 216.1 21.9 0.63 0 0 302.85 -9999.9 -9999.9 0.07 -9999.9 -9999.9
2011 185 17.5 140.9 15.9 0.48 0 0 303.01 -9999.9 -9999.9 0.22 -9999.9 -9999.9
2011 185 18 230.2 2.1 0.42 0 0 303.25 -9999.9 -9999.9 0.21 -9999.9 -9999.9
2011 185 18.5 256.5 3.4 1.5 0 0 303.25 -9999.9 -9999.9 0.28 -9999.9 -9999.9
2011 185 19 274 6.9 0.84 0 0 303.52 -9999.9 -9999.9 0.08 -9999.9 -9999.9
2011 185 19.5 337.1 11.6 0.55 0 0 303.9 -9999.9 -9999.9 0.13 -9999.9 -9999.9
2011 185 20 230 2.4 0.61 0 0 303.97 -9999.9 -9999.9 0.21 -9999.9 -9999.9
2011 185 20.5 180.7 15.2 1.21 0 0 304.06 -9999.9 -9999.9 0.23 -9999.9 -9999.9
2011 185 21 197.7 5.1 1.18 0 0 304.03 -9999.9 -9999.9 0.3 -9999.9 -9999.9
2011 185 21.5 175.2 1 0.83 0 0 303.93 -9999.9 -9999.9 0.2 -9999.9 -9999.9
2011 185 22 181.8 2.9 0.8 0 0 303.88 -9999.9 -9999.9 0.14 -9999.9 -9999.9
2011 185 22.5 118.2 6.9 0.9 0 0 303.89 -9999.9 -9999.9 0.1 -9999.9 -9999.9
2011 185 23 62.4 12.1 0.98 0 0 303.73 -9999.9 -9999.9 0.06 -9999.9 -9999.9
2011 185 23.5 77.1 12.4 0.54 0 0 303.46 -9999.9 -9999.9 0.03 -9999.9 -9999.9
