date,orbit,filename,line,column,uvai,mpl_z1,sd_mpl_z1,mpl_n1,mpl_z2,sd_mpl_z2,mpl_n2,m2_aoch532,m2_aod532
2022-07-11 18:34:59,24578,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0711t181325-o24578_v01-2022m0714t123237.nc, 2338, 439, 0.78, 1.64, 0.04,105, 1.61, 0.27, 60,1.33,0.12
2022-07-12 16:34:26,24591,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0712t161251-o24591_v01-2022m0713t181137.nc, 2457,  12, 0.07, 2.50, 0.06,109, 2.41, 0.32, 51,1.81,0.16
2022-07-15 17:18:42,24634,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0715t165708-o24634_v01-2022m0716t175634.nc, 2389, 133,-0.50, 1.97, 0.05, 99, 1.83, 0.30, 58,1.73,0.27
2022-07-22 16:46:41,24733,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0722t162506-o24733_v01-2022m0823t160023.nc, 2467,  36,-0.79, 1.41, 0.04,105, 1.33, 0.23, 60,1.51,0.14
2022-07-30 17:36:58,24847,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0730t171523-o24847_v01-2022m0823t205334.nc, 2428, 236,-0.25, 1.48, 0.12, 93, 1.29, 0.27, 27,1.69,0.11
2022-08-03 18:02:04,24904,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0803t174030-o24904_v01-2022m0824t000945.nc, 2434, 361,-0.07, 1.36, 0.03, 82, 1.23, 0.12, 37,1.73,0.12
2022-08-07 16:45:40,24960,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0807t162405-o24960_v01-2022m0824t032139.nc, 2546,  36,-1.10, 0.85, 0.24, 32, 0.85, 0.24,  1,1.94,0.13
2022-08-09 17:48:57,24989,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0809t172722-o24989_v01-2022m0824t044817.nc, 2472, 306, 0.18, 1.75, 0.08, 94, 1.73, 0.24,  9,1.58,0.13
2022-08-11 17:10:43,25017,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0811t164910-o25017_v01-2022m0824t081711.nc, 2525, 106,-0.66, 1.48, 0.08,103, 1.40, 0.36, 39,1.59,0.09
2022-08-13 16:32:31,25045,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0813t161056-o25045_v01-2022m0824t093602.nc, 2606,  12,-0.48, 2.09, 0.50,121, 1.51, 0.32, 57,1.95,0.06
